image_url,journalist_caption
https://i.guim.co.uk/img/media/9aaba62e1b0e997bfbfe6abe7735aaf25e59f07c/0_0_5000_3333/master/5000.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=29f3e47fbf20fc23186fc722c0efc586,People are evacuated by Italian air force helicopters during floods in the small village of Traversara. Two people are missing and about 1000 have been evacuated from their homes after devastating floods and landslides hit the northern Italian region of Emilia-Romagna prompting accusations that Giorgia Meloni’s far-right government lacks the will to confront the climate crisis.
https://i.guim.co.uk/img/media/4f570034c3e9d14dd0592b5ff07952a23be40a4c/0_0_6809_4542/master/6809.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=4627e675ea698432c91705322982d069,A woman stands at the entrance to a building destroyed by the heavy floods in Stronie Śląskie.
https://i.guim.co.uk/img/media/cd6cf9b6d87c1c2dcfce7dbbefc1dee95aee2bff/0_0_6000_4000/master/6000.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=1bff29a3c117e4f06f4948b994cadcaa,A vehicle moves through the rubble of collapsed buildings in Khan Younis in the southern Gaza Strip.
https://i.guim.co.uk/img/media/47ac079b12636866c3a408edc366c5c14c718ed0/0_0_7500_5000/master/7500.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=6a29e80106049a927bb8f58e70fe5540,Palestinians build barriers of sand in front of their tents which have been flooded by seawater due to tidal waves and rough weather at the beach in Khan Younis.
https://i.guim.co.uk/img/media/e6c4461fa68441022c0a22f4df87254e99dc4f2d/0_0_8640_5760/master/8640.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=d0339ab3ac3859395747a4d90a3d8f60,An armoured vehicle drives past damaged buildings during the Israeli army’s ongoing ground operation in the Gaza Strip.
https://i.guim.co.uk/img/media/d8a2b6e01b4166fcdb20cd93d76b110207cf69da/0_0_8256_5504/master/8256.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=c71bd0c8d114b80638d218c7a85bf6f1,Opponents of the A69 motorway occupy a house in a ZAD (Zone to Defend) in Verfeil. Employees of the A69 concession holder and police officers this week entered a property near Toulouse that had become the last bastion of opponents of this controversial motorway where trees had been cut down before it was scheduled to be evacuated.
https://i.guim.co.uk/img/media/530ec9949886db1dba1645bcf86f185507c4d92b/0_0_5048_3366/master/5048.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=3785ded70f9da94a8c98d3b7978abb09,A street is flooded in Głuchołazy. 
https://i.guim.co.uk/img/media/02a73b7bf63fe5c55523f107d88f24f006ea2d02/0_0_2639_1760/master/2639.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=03d96284619f19ff6381a221346527db,A man dries items in a flooded area of Inle Lake in Myanmar’s southern Shan state. 
https://i.guim.co.uk/img/media/ff6c240307eb000960447ccc6b48b27bc2ecca2b/0_0_4626_3084/master/4626.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=1a845358ccc5d5f6973df765abb70a10,A Ukrainian serviceman runs to help farmers extinguish a burning field near Pokrovsk.
https://i.guim.co.uk/img/media/0b1446291027048b6cc26acc94cee175d8082bd8/0_0_8164_5443/master/8164.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=2a810096a5337139969b532c2056aaff,Ukrainian serviceman Gennadiy Yudin stands inside a church heavily damaged by Russian bombing in Novoekonomichne.
https://i.guim.co.uk/img/media/2aeb8a38a910f067f9cc8592d1b7075fec5fc957/0_0_3735_2489/master/3735.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=ac4457ee9316c91e0be810dc5a076958,Trees burn in Talhadas during wildfires that have been raging all week in the northern and central regions of the country destroying dozens of houses and forcing roads and motorways to be closed.
https://i.guim.co.uk/img/media/b3901f2639c720b0cbfb40ff5a482e78ad3f61ed/0_0_4522_3015/master/4522.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=f589ed835f822d1cb6a0b22454253df7,A supporter of former Bolivian president Evo Morales clashes with supporters of the current president Luis Arce at the road between Oruro and La Paz. 
https://i.guim.co.uk/img/media/f811ed54d9cabab3d2e247f84bda90eeb4f198f4/0_0_4549_3032/master/4549.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=94f3cc8bd4587c8249d5d7eb3b667f03,Parrots fly through smoke caused by forest fires in the community of Palestina in Concepcion.
https://i.guim.co.uk/img/media/b9883b5a1bf07341f6b1d276626b90080d918170/0_0_7435_4957/master/7435.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=36b1f1833a9162800663699bdf7b49ab,A soldier with an eagle prepares to participate in a military parade for the 214th anniversary of Independence Day at the Zocalo Square in Mexico City.
https://i.guim.co.uk/img/media/8d8ad4642583f4c83402e669bb133576babd33f6/0_0_5000_3335/master/5000.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=5b76527daf5fdca3144ccd065a4720c3,Donald Trump and Kamala Harris during the presidential debate at the National Constitution Center.
https://i.guim.co.uk/img/media/bff584c59ca223c876f6be8222cf5e2fbb061dd2/0_0_8483_5655/master/8483.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=110c3027eabfb59bbc5e524a6f69c8d9,Relatives and friends of hostages held by Hamas in Gaza block a road during a protest demanding their release. 
https://i.guim.co.uk/img/media/6caa702d62f9e62219ebf554b5576de97e8ce203/0_0_6016_4016/master/6016.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=c9878143f427c0446a6180bc45dcd0b3,A man jumps into the crowd during the traditional festival of the Cascamorras.
https://i.guim.co.uk/img/media/18be5818e32a28810d7693dffb7329c8aef0c8d5/0_0_5376_3584/master/5376.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=0babd784e9001230ab484e19d2fd9a8c,People prepare to leave the city after a Russian airstrike. 
https://i.guim.co.uk/img/media/c23b4d0e3264aaabb57a46f893d6e774a1d46bdd/0_0_8256_5504/master/8256.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=1223ae1b748f72dd3af0e58a1cba126f,Smoke billows from the airport fire in California.
https://i.guim.co.uk/img/media/ba55dbc0c827d353005fbb54dbf47a88637b936e/0_0_2289_1527/master/2289.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=c86439c3938b95253d4b6e5f8ccf54ce,Two men guide cattle through flood waters after heavy rain in the aftermath of Typhoon Yagi in Myanmar.
https://i.guim.co.uk/img/media/a7da1f455bbd28f54ce977e7929289ec27a62662/0_0_7772_5182/master/7772.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=695eeb8b1176e5fc08b356b9039a1b9a,People search for plastic bottles and recyclable material at a waste dump next to the Yangon River.
https://i.guim.co.uk/img/media/23423e85ecb2af47f9a83a31eac27a4f7ae0ff77/0_0_7500_5000/master/7500.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=0cefc03cdc252e8694ee5375a2697a7d,Children walk past destroyed buildings as they head to class.
https://i.guim.co.uk/img/media/4f01128d3547fca068a37f7162f6c135d30951b5/0_0_7664_5109/master/7664.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=5efef0efa2a0d4705a6c03785d72cfda,Pupils and teachers stand outside classrooms at a primary school at the beginning of the school year.
https://i.guim.co.uk/img/media/a5db90f6406e405e7d7a7df42563a8be642d9f88/0_0_3936_2624/master/3936.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=dc49a0986465b7a091129706c1570222,Protesters attempt to break into a room in the senate as lawmakers discuss the government’s proposed judicial changes. 
https://i.guim.co.uk/img/media/495065d9e3748961aabd868152b76a956980d37b/0_0_8263_5509/master/8263.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=e58f29fab880500baefc690a89af1170,Police detain a protester during a demonstration against President Javier Milei’s veto of a pension rise.
https://i.guim.co.uk/img/media/90c67e3aa90873f18ea566626e22dd64fb8ce7cf/0_0_3245_2163/master/3245.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=3286dbcf5a07a7d2a06cbff592213d06,A volunteer sorts fruit and vegetables offered by Hindu couples at a sacred well during the Lolark Shasthi festival.
https://i.guim.co.uk/img/media/fea68ee4b6a7740e7a11d51fbd178ae8778539d4/0_0_4070_2713/master/4070.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=8699fdd3f0db486465e0ef0fc7c592c2,A man holding a baby walks past a tree that was blown over during Typhoon Yagi in Vietnam.
https://i.guim.co.uk/img/media/c1933f36e8552202cdf97f8165d423353fed3f5e/0_0_4316_2877/master/4316.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=139a2b7597c5f14d72c6cca6170b090f,People watch smoke rising from a forest fire in Portugal.
https://i.guim.co.uk/img/media/4333f52604d5eef25d6fd263a93ad9bb67a2f17f/0_0_3082_2217/master/3082.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=62a76986dba5a1e25fc621cc9d48d19b,Central Investigation Bureau personnel help residents during flooding in the aftermath of Typhoon Yag.
https://i.guim.co.uk/img/media/956482387cdf11d2b5e63f5a03558234fdbaaad8/0_0_3543_2362/master/3543.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=d6e3d656bcc5d47cbf2b2de81518f351,Climate activists of Extinction Rebellion stage a protest at an entrance of the Rijksmuseum over the museum’s sponsorship deal with ING bank.
https://i.guim.co.uk/img/media/cf98417e769132de8b6efad0ebb78503f306efd4/0_0_8192_5464/master/8192.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=e4feb8f79522e2eea67f18b7c9455ea4,Highway 330 is engulfed by flames in California.
https://i.guim.co.uk/img/media/51b69d21a2da7c9a52beebc4ddc62ff530bb67d4/0_0_5488_3651/master/5488.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=5a44d97bbf1c6255f26740f3d2215729,Two black swans glide along a river.
https://i.guim.co.uk/img/media/8e00d9c2bb3d38e1d7f6a937f28edd1d27e99ae1/0_0_7626_5063/master/7626.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=1445d1546aefb4c6cf9b2c5449fb2dc2,Dancers pose on a sunken platform at St James’s Park to promote Matthew Bourne’s Swan Lake.
https://i.guim.co.uk/img/media/222245b6d6aa89bd16a8ba231d4f04789c921a16/0_0_6000_4004/master/6000.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=15f2d7e37114eacb2602e230445b61b6,Civilians are evacuated by rail from the frontline city of Pokrovsk to Dnipro. Russian forces are closing in on the city and there is significant tension on the frontline.
https://i.guim.co.uk/img/media/5fec74ecba1417f06e9f98997b2a6cc6df900fc1/0_0_6240_4160/master/6240.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=7fb7ad1348df5d0c939126c4bdfef66f,Paramedics give first aid to injured colleagues near an ambulance after twin Russian bombings.
https://i.guim.co.uk/img/media/36427a1cb10e6777ecec0ec4b0093839c45bc49c/0_0_5933_3955/master/5933.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=c02f445f281c722ec1837d1c2ff4cd8e,First-year pupils take part in a traditional ceremony on the first day of school.
https://i.guim.co.uk/img/media/6814eeac54d1d7cca3b1c28c3b3b0021fa5ff5b2/0_0_2640_1761/master/2640.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=4143e3ebd57ada46927f4566b07b7110,China’s Jiang Yuyan and McKenzie Coan of the USA in the S7 women’s 100m freestyle final at the Paralympics.
https://i.guim.co.uk/img/media/fd881551efeeb717dd95baa46455ec5c3dac9d1b/0_0_5000_3280/master/5000.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=1ca80602610bac192b5d5b97d0999921,Sevilay Öztürk of Turkey adjusts her goggles poolside at the Paralympics.
https://i.guim.co.uk/img/media/ed9941c4d38da39c20976981377a4fcd605b9986/0_0_5500_3667/master/5500.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=8f24fbc8ccdc806f0ad4a9eff102860c,People attempting to cross the Channel climb into an inflatable dinghy.
https://i.guim.co.uk/img/media/3dc001095b0fdbde237bb070f59e3982882bdff6/142_95_8050_5369/master/8050.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=0e017f49c24c41f9c195af47a2103a4b,Children receive cooked food rations as part of a volunteer initiative in a makeshift displacement camp.
https://i.guim.co.uk/img/media/cac474c54cfc7bf4ced87cdab7eed090fc497cab/0_0_6000_4000/master/6000.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=c32ba4e29e79c8fd16855fc2efdf613c,A woman holds a baby as children receive vaccinations against polio at Nasser hospital.
https://i.guim.co.uk/img/media/ceefe8e1b7e99e21de2bd2f3b7a55676bb321bbd/111_63_3642_2428/master/3642.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=1223b44f5d377660a044b41f2377eeea,Relatives of a 16-year-old girl who died during Israeli raids in the West Bank mourn during her funeral procession.
https://i.guim.co.uk/img/media/a37d6c3ce863a2f0fa20737db14c5847cec4b9aa/0_0_7232_4797/master/7232.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=483a089a0d9975d3d8d62a42b21117c2,A dog stands on a street that was torn up by bulldozers during an Israeli raid in the centre of Jenin in the occupied West Bank.
https://i.guim.co.uk/img/media/db4302d4f8a579f4c9944332c3a51a32b07566f4/0_0_5561_3707/master/5561.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=200d151f6b2cfd8907a6d27344f78a25,A dog looks out from the roof of a flooded home after Tropical Storm Yagi.
https://i.guim.co.uk/img/media/c122985bd72a96e4d73243b75bb377799cb6570a/0_0_5718_3812/master/5718.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=8aa34e5a97a13b451c4ebd6b3bfc42b0,The remains of a house in the sunken village of Kallios are revealed due to the receding water level of Mornos artificial lake. 
https://i.guim.co.uk/img/media/8606a790cf17df01be716cf3ebce158d894082b0/0_0_5878_3934/master/5878.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=f41491103598a32dcffc4e5b75108cc3,A person views dedications and messages on a wall of condolences near to the covered remains of Grenfell Tower on the day of the publication of the second report of the public inquiry into the deadly 2017 fire.
https://i.guim.co.uk/img/media/02c8c4b8c29c593d161de68eaa2f7960f3fdea0a/0_0_5000_3334/master/5000.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=a659779f9e58c4b4b901b99e2f800f9d,Washing hangs on a line between rows of terraced houses in Leeds.
https://i.guim.co.uk/img/media/97fb12ed4461845d1a8efac7008fe5f270bb3e08/0_0_6500_4334/master/6500.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=f3be0034edc7df10784def141db02425,Christenvie Kalimba whose two children are undergoing treatment against mpox discusses their progress with health workers at Kavumu hospital.
https://i.guim.co.uk/img/media/3c24981f5bc01540384f4e8dd598f6ce92019b14/0_0_5500_3667/master/5500.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=bd34dcdeb5ce3d16196f453186d51d33,A firefighter walks in front of flames from a wildfire in an area of the national forest.
https://i.guim.co.uk/img/media/6f5b081073cf8c35287bf451482eedb72113a93a/0_0_6396_4264/master/6396.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=c6cd711867a1382f38bae8d33a1e56da,A bull stands in front of a house surrounded by fire from illegal burning in the Amazon rainforest.
https://i.guim.co.uk/img/media/a1925488f540d16f174f4e14b43de961b5f6dbe8/0_0_4749_3166/master/4749.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=21e9fa7ff0dea443fb4a9a2622651c74,The Manhattan skyline at sunset seen from the Louis Armstrong stadium during the US Open
https://i.guim.co.uk/img/media/7081cb3834048f5ab3c290fcbc676fa5b4b309cc/0_0_5000_3333/master/5000.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=9ae7c9f30449e91cb2ccc8188d3af80c,A man takes a selfie with a woman in carnival costume during the West Indian Day parade.
https://i.guim.co.uk/img/media/a0872b757900c02f415f9ae8a65a566b45f9dc85/0_0_4494_2996/master/4494.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=8e9c7cea9228d1ddb91a3770e9826b26,Kiara Rodriguez of Ecuador competes in the T47 women’s long jump final at the Paralympics.
https://i.guim.co.uk/img/media/8633fb6ac5508ec51a1b01adbbd234aa9e9c847b/0_0_5363_3575/master/5363.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=34c247779e448c25e6ed37474d7e46e1,Palestinians remove whatever belongings they can salvage as the devastation left by the Israeli army’s withdrawal comes to light in eastern Deir al-Balah.
https://i.guim.co.uk/img/media/cf0acf3ae0a9fc811f37a48b818b92a7cb37ec6a/0_0_6000_4000/master/6000.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=97cc714596941f07f201071d382eeb24,Rockets fired from southern Lebanon are intercepted by Israel’s Iron Dome air defence system over the Upper Galilee.
https://i.guim.co.uk/img/media/b98991f99d99f8cddfe799abd964cc4858df6b02/0_0_5804_3869/master/5804.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=143912e447dd9dbeeff733aeb4c45382,Paralympic torchbearers Charles-Antoine Kouakou and Nantenin Keita and Fabien Lamirault and Alexis Hanquinquant and Elodie Lorandi watch as the Paris Paralympic Games 2024 cauldron lifts off during the opening ceremony at the Jardin des Tuileries.
https://i.guim.co.uk/img/media/fad60318ad37c06be2b226aac6ad396c30da02dc/0_0_5549_3699/master/5549.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=9d61e3beb5d672a0acc2b173d3a378ca,Batala Mundo bands pass Westbourne Park underground station as they take part in the main parade of the Notting Hill carnival in west London.
https://i.guim.co.uk/img/media/e2582ba88824113f28c9a2ad952851a9fa31f81d/0_0_4500_3001/master/4500.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=4652b5744a1543de7e197b6868424a69,Resident Iryna looks on as workers move belongings out of her apartment during the evacuation of Pokrovsk.
https://i.guim.co.uk/img/media/070d0bd543ac23ace2ae9815ba55628470a511d3/0_0_6048_4024/master/6048.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=4a61abcb3b48bac2adc5af336d1a9576,Residents collect items from their building after it was hit by a Russian missile strike.
https://i.guim.co.uk/img/media/16a6ed93300b0fefc2673a5c7ddc31b10baeceb0/0_0_8640_5760/master/8640.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=d4988f3fc8d7828aef573379b1c30314,A woman sits alone on a bed in a ward of al-Aqsa Martyrs hospital in Deir al-Balah.
https://i.guim.co.uk/img/media/9cc32ded3da0a0dedd5fd8dbf08ad20443376822/0_0_6720_4480/master/6720.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=7fc18d2f36b12be5f105d156b4670d55,Abdul Rahman Abu Al-Jidyan who has contracted polio receives care from his mother and family inside a tent in a shelter for displaced people in central Gaza. 
https://i.guim.co.uk/img/media/dc6d64a066f73235d364691f188d9c2d3639a842/0_0_7242_4828/master/7242.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=b9f08d4fdfea10021a57f4c66cf57c0c,Israeli soldiers carrying out a raid in the Nur Shams camp for Palestinian refugees in the Israeli-occupied West Bank.
https://i.guim.co.uk/img/media/779060f18f97177d9c93359d6bba355f56154fff/0_0_4456_2850/master/4456.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=5704b4238e54be5ed6010f332a7deaf9,Members of the Haredi Jewish group Neturei Karta counterprotest as people attend a demonstration to call for a new mask ban in New York after an escalating spate of antisemitic protests staged mobs with concealed faces in New York.
https://i.guim.co.uk/img/media/029a4e8e87cb42682f3bcb0710a4386e78ebe057/0_0_3118_2023/master/3118.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=b67927504ab6e74749a3651c65690365,A vehicle that fell into a sinkhole in Seoul.
https://i.guim.co.uk/img/media/f18c63aaa4736ed9efa2a7c3b07dd870a984007a/0_0_5464_3640/master/5464.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=08fd2260b5117d4658f252f3b7a585fb,A car passes a bridge over a stream covered with hundreds of thousands of dead fish near the port of Volos.
https://i.guim.co.uk/img/media/8df349d76f1e44c0c214b88df518e6c731b0bf27/0_0_3402_2268/master/3402.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=4b188c78b3cb8a63d0ba5a4d59365976,A house destroyed by a fire in Ribeirao Preto.
https://i.guim.co.uk/img/media/75353dcce6009d8a9b5d6a9f655ac53e893c54ae/0_0_5768_3845/master/5768.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=0b5c7fa3411c7196fd9b21fab7145f05,A cow stuck in the mud of the dry bed of the Las Lajas dam due to a severe drought in Buenaventura.
https://i.guim.co.uk/img/media/42e79af3949a52ccf9123b0395952dd06fb9cf5a/0_0_5337_3433/master/5337.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=34ae0c91968abb44adeb3ee59590f54b,Glaciologist Matthias Huss enters an ice cave at the tongue of the Rhone glacier.
https://i.guim.co.uk/img/media/35678287013c0c855bcd9e11b92ce879c74c23da/0_0_8000_5333/master/8000.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=33f965ec41f8d9817d9d1c594c3e6cdf,Manjui Indigenous children play in the Abisai community at Mariscal Estigarribia in the western region of the country known as the Paraguayan Chaco.
https://i.guim.co.uk/img/media/6d82be799d885b55f5a9d550eb92330b13a38718/0_0_5885_3916/master/5885.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=cacca19e7511e11b2541708142886c92,A sculpture of Jesus Christ by Armen Samvelyan at a workshop in Yerevan. The complete statue is to be erected on Mount Hatis.
https://i.guim.co.uk/img/media/ecd53f186c870afe59ab096bd0d278979ea932a8/0_0_6000_4000/master/6000.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=4d966d2a95f9b64444fcbe1633c61d66,Revellers throw tomatoes at each other during the annual Tomatina fiesta in the village of Bunol near Valencia.
https://i.guim.co.uk/img/media/478dd13e41dc60d2309bebffbf6579388b44091c/0_0_3715_2477/master/3715.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=382e26b08c8bc7be52d269e9146fc975,Paralympic athlete Fabiola Ramirez of Mexico at the start of a heat of the women’s 100m backstroke S2 during the Paris Paralympic Games 2024.
https://i.guim.co.uk/img/media/9c1a9e72cfd5907b377296904ea781e1ea048dc0/0_0_5895_3930/master/5895.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=c9df45566a00855173ad7e4f9d7861d5,Daniela Carolina Munévar Flórez of Team Colombia competes during the women’s C1-3 300m individual pursuit qualifying round during the Paris Paralympic Games 2024 at the Saint-Quentin-en-Yvelines velodrome.
https://i.guim.co.uk/img/media/3af9af9968ec4cf75e63a971e9e3e3ebb7c48cf3/0_0_8362_5575/master/8362.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=5c4b94038e75fd25e1b5eade8fede173,A Ukrainian soldier walks in the city centre of Sudzha in Russia’s Kursk region.
https://i.guim.co.uk/img/media/74083fb1c96344d4930a2181456101a8e4bde7b3/0_0_7519_5013/master/7519.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=3bb1c7c2a17578abecf64e6451340ee4,Ukrainian soldiers of the Air Assault Forces prepare a M777 howitzer to fire towards Russian positions at the frontline in Donetsk.
https://i.guim.co.uk/img/media/0bac5d3d8f35b0ba9a3af6753bb093bf0f89b8df/0_0_7500_5000/master/7500.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=0165a4beae1179deea979f1231cbfde3,Palestinians injured in an Israeli bombardment east of Khan Younis arrive at the Nasser hospital.
https://i.guim.co.uk/img/media/ef9e8f5be68477e77762848b6021d8efa97f7e70/0_0_3752_2502/master/3752.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=dceb8b2096bb184b204d6557bc0ad64d,Wife of Maj Yotam Itzhak Peled who was killed amid the ongoing conflict in Gaza between Israel and Hamas mourns his death during his funeral in Rosh Ha’ayin.
https://i.guim.co.uk/img/media/473d3500b3895724d5db75eb3f611d9c0a970896/0_0_5500_3667/master/5500.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=44746390a4f9dae53e6c64a358e50ae5,Palestinian girl Sila Houso who was injured in an Israeli strike receives treatment at al-Aqsa Martyrs hospital in Deir al-Balah. 
